index,reaction_semantic_similarity,reaction_psychological_depth_analysis_before_level,reaction_psychological_depth_analysis_after_level,reaction_psychological_depth_analysis_before_focus,reaction_psychological_depth_analysis_after_focus,reaction_psychological_depth_analysis_change_direction,reaction_reaction_types_analysis_before_types_emocjonalne,reaction_reaction_types_analysis_before_types_kognitywne,reaction_reaction_types_analysis_before_types_behawioralne_manifestacje,reaction_reaction_types_analysis_before_types_zewnętrzne_wyniki,reaction_reaction_types_analysis_after_types_emocjonalne,reaction_reaction_types_analysis_after_types_kognitywne,reaction_reaction_types_analysis_after_types_behawioralne_manifestacje,reaction_reaction_types_analysis_after_types_zewnętrzne_wyniki,reaction_reaction_types_analysis_emotional_granularity_change,reaction_conceptual_coverage_before_categories,reaction_conceptual_coverage_after_categories,reaction_conceptual_coverage_maintained_categories,reaction_conceptual_coverage_new_categories,reaction_conceptual_coverage_lost_categories,reaction_evolution_assessment_type,reaction_evolution_assessment_description,reaction_evolution_assessment_quality_change,reaction_key_insights,reaction_analysis_type
10,0.3,średni,średni,psychologiczny,behawioralny/zewnętrzny,bardziej behawioralny,0,2,0,0,0,1,2,1,"Annotator przeszedł od ogólnych wątpliwości do bardziej konkretnych zachowań, takich jak bagatelizowanie i odrzucenie, co wskazuje na zrozumienie, że reakcje mogą być wyrażane w sposób bardziej zewnętrzny.",wątpliwości kognitywne; lekceważenie komunikatów,bagatelizowanie; odrzucenie; porównania z innymi grupami,[],bagatelizowanie; odrzucenie; porównania,wątpliwości kognitywne; lekceważenie komunikatów,spłycenie (fokus na zachowania),"Annotator przeszedł od analizy wewnętrznych wątpliwości do bardziej zewnętrznych zachowań, co może sugerować spłycenie analizy psychologicznej.",-0.4,"Zmiana w rozumieniu reakcji na wpływ społeczny wskazuje na przesunięcie w kierunku bardziej behawioralnych manifestacji, co może sugerować, że annotator skupił się na zewnętrznych aspektach reakcji, a nie na wewnętrznych procesach psychologicznych.",reaction
11,0.5,średni,średni,mieszany,mieszany,bez zmian,0,3,2,1,0,3,2,1,"Brak zmiany w zrozumieniu emocjonalnym, ponieważ obie odpowiedzi nie zawierają wyraźnych emocji, a skupiają się na kognicjach i zachowaniach.","kognicje (podważanie, wytykanie sprzeczności); behawioralne manifestacje (ironiczne komentarze, ignorowanie)","kognicje (dystansowanie się, konfrontacja z rzeczywistością); behawioralne manifestacje (żartowanie, ignorowanie)",kognicje; behawioralne manifestacje,[],[],brak znaczącej zmiany,"Annotator zachował podobny poziom analizy, koncentrując się na kognicjach i behawioralnych manifestacjach, ale nie wprowadził nowych kategorii ani nie pogłębił analizy emocjonalnej.",0.0,"Annotator utrzymał podobny poziom analizy, koncentrując się na kognicjach i zachowaniach, ale nie wprowadził nowych wniosków ani nie pogłębił zrozumienia emocji. Obie odpowiedzi wskazują na dystansowanie się od przekazu trenera, ale brak jest głębszej analizy psychologicznej.",reaction
12,0.5,powierzchowny,średni,behawioralny/zewnętrzny,psychologiczny,bardziej psychologiczny,0,0,1,0,0,3,1,0,"Annotator przeszedł od opisu jednego zachowania (ignorowanie) do bardziej złożonego zrozumienia, które obejmuje różne kognitywne reakcje, takie jak wątpliwości i podważanie autorytetu, co wskazuje na rozwój w analizie psychologicznych reakcji.",ignorowanie jako zachowanie,wątpliwości (kognitywne); podważanie autorytetu (kognitywne); przytakujące zachowanie (behawioralne),behawioralne manifestacje,"kognitywne reakcje (wątpliwości, podważanie)",[],pogłębienie psychologiczne,"Annotator rozwinął swoje zrozumienie reakcji na wpływ społeczny, przechodząc od prostego opisu zachowania do analizy kognitywnych procesów, które towarzyszą tym zachowaniom.",0.7,"Rozwój w analizie reakcji psychologicznych. Kluczowe zmiany obejmują: (1) Zmiana z opisu jednego zachowania na zrozumienie złożonych kognitywnych reakcji; (2) Identyfikacja wątpliwości i podważania autorytetu jako istotnych elementów reakcji na wpływ społeczny; (3) Utrzymanie behawioralnych manifestacji, ale z dodaniem głębszej analizy kognitywnej.",reaction
13,0.3,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,2,0,0,0,2,0,Brak zmiany w zrozumieniu emocjonalnym; reakcje pozostają na poziomie behawioralnym bez głębszej analizy stanów psychologicznych.,negacja; sarkazm,podśmiechiwanie się; lekceważenie,[],podśmiechiwanie się; lekceważenie,negacja; sarkazm,brak znaczącej zmiany,"Annotator przeszedł od ogólnych terminów negacji i sarkazmu do bardziej konkretnych zachowań, ale nie wprowadził głębszej analizy psychologicznej.",0.0,"Annotator zidentyfikował konkretne zachowania, ale nie rozwinął analizy psychologicznej reakcji. Brak emocjonalnej głębi w odpowiedziach.",reaction
14,0.2,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,1,1,0,1,0,0,"Annotator przeszedł od opisu zachowania (skupienie na rozmowie) do wyrażenia niezgody, co wskazuje na rozwój w kierunku bardziej kognitywnego przetwarzania, ale nadal brakuje głębszych emocjonalnych reakcji.",zachowanie (skupienie na rozmowie); zewnętrzny wynik (temat rozmowy),kognicja (niezgoda),[],kognicja (niezgoda),zachowanie; zewnętrzny wynik,brak znaczącej zmiany,"Annotator przeszedł do bardziej kognitywnego opisu reakcji, ale nie wprowadził głębszych emocjonalnych analiz. Zmiana w kierunku kognitywnym, ale brak rozwoju w zakresie emocji.",0.0,"Brak znaczącej ewolucji w rozumieniu psychologicznych reakcji. Zmiana z opisu zachowań na kognitywne wyrażenie niezgody, ale nadal brak emocjonalnych reakcji, co wskazuje na potrzebę dalszego rozwoju w analizie psychologicznej.",reaction
15,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,psychologiczny,bardziej psychologiczny,0,0,0,0,1,0,0,0,"Annotator zidentyfikował jedną emocję - zaskoczenie, co wskazuje na rozwój w kierunku rozumienia emocjonalnych reakcji na wpływ społeczny.",[],emocje (zaskoczenie),[],emocje (zaskoczenie),[],pogłębienie psychologiczne,"Annotator przeszedł od braku odpowiedzi do zidentyfikowania konkretnej emocji - zaskoczenia, co pokazuje rozwój w rozumieniu reakcji emocjonalnych.",0.5,"Rozwój w kierunku identyfikacji emocji. Zaskoczenie jako reakcja emocjonalna wskazuje na większą wrażliwość na wewnętrzne stany psychiczne, mimo że nadal jest to dość podstawowy poziom analizy.",reaction
17,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmian w zrozumieniu emocji, ponieważ brak jest jakichkolwiek reakcji w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,"Nie zaobserwowano żadnych reakcji ani zmian w zrozumieniu wpływu społecznego, ponieważ obie odpowiedzi są puste.",0.0,"Brak danych do analizy, co uniemożliwia ocenę rozwoju rozumienia przez annotatora.",reaction
16,0.0,powierzchowny,średni,behawioralny/zewnętrzny,psychologiczny,bardziej psychologiczny,0,0,0,0,0,2,1,0,Annotator przeszedł od braku analizy reakcji do zidentyfikowania kognitywnych procesów obwiniania oraz behawioralnej manifestacji przyjmowania roli ofiary.,[],procesy kognitywne (obwinianie); behawioralne manifestacje (rola ofiary),[],procesy kognitywne; behawioralne manifestacje,[],pogłębienie psychologiczne,"Annotator zyskał zdolność do analizy reakcji psychologicznych, identyfikując procesy kognitywne i behawioralne, co wskazuje na rozwój w rozumieniu wpływu społecznego.",0.7,"Rozwój w analizie reakcji psychologicznych. Kluczowe zmiany: (1) Wprowadzenie analizy kognitywnej - obwinianie jako mechanizm obronny; (2) Identyfikacja behawioralnej manifestacji - przyjmowanie roli ofiary, co pokazuje zrozumienie wpływu społecznego na psychikę jednostki.",reaction
19,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmian w zrozumieniu emocji, ponieważ brak jest jakichkolwiek reakcji w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,Brak jakichkolwiek reakcji w obu odpowiedziach wskazuje na brak rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny.,0.0,"Brak danych do analizy, co uniemożliwia ocenę rozwoju rozumienia przez annotatora.",reaction
18,0.3,powierzchowny,średni,behawioralny/zewnętrzny,mieszany,bardziej psychologiczny,0,0,1,1,0,1,1,0,"Annotator przeszedł od opisu jedynie zachowań do uwzględnienia kognitywnego aspektu reakcji, co wskazuje na rozwój w rozumieniu procesu słuchania jako bardziej złożonego działania.",zachowanie (słuchanie); obiektywizm,zachowanie (wysłuchanie); procesy kognitywne (usprawiedliwienia),zachowanie (słuchanie),procesy kognitywne (usprawiedliwienia),obiektywizm,pogłębienie psychologiczne,"Annotator zyskał głębsze zrozumienie reakcji na wpływ społeczny, przechodząc od prostego opisu zachowania do analizy kognitywnej związanej z wysłuchaniem usprawiedliwień.",0.7,"Rozwój w zrozumieniu reakcji na wpływ społeczny. Kluczowe zmiany: (1) Zmiana z opisu zachowań na uwzględnienie procesów kognitywnych, co wskazuje na głębsze zrozumienie dynamiki interakcji; (2) Utrata obiektywizmu jako kategorii, co może sugerować większe skupienie na subiektywnych aspektach interakcji.",reaction
20,0.5,średni,głęboki,behawioralny/zewnętrzny,psychologiczny,bardziej psychologiczny,0,1,1,0,1,2,1,0,"Annotator przeszedł od opisu decyzji o unikaniu spoilerów do złożonej analizy wewnętrznych stanów psychicznych, takich jak ciekawość i refleksja, co pokazuje głębsze zrozumienie emocji i myśli związanych z wpływem społecznym.","decyzje behawioralne (zgoda, unikanie)","emocje (ciekawość); procesy kognitywne (refleksja, decyzja)",decyzje behawioralne,emocje; procesy kognitywne,[],pogłębienie psychologiczne,"Annotator znacząco rozwinął swoje zrozumienie psychologicznych reakcji na wpływ społeczny, dodając emocjonalne i kognitywne aspekty do analizy.",0.75,Rozwój w zrozumieniu reakcji psychologicznych. Kluczowe zmiany: (1) Zmiana z behawioralnego opisu na głębszą analizę emocji i myśli; (2) Wprowadzenie ciekawości jako istotnego elementu reakcji; (3) Refleksja nad słowami streamera pokazuje złożoność procesów myślowych związanych z wpływem społecznym.,reaction
21,0.2,powierzchowny,średni,psychologiczny,mieszany,bardziej behawioralny,1,0,0,0,0,1,2,1,"Annotator przeszedł od ogólnego opisu emocji do bardziej złożonego opisu zachowań i decyzji, jednak zredukował identyfikację emocji do minimum.",emocje (ciekawość); chęć unikania emocji,"reakcje behawioralne (przyznanie racji, rezygnacja); decyzje kognitywne (uniknięcie pokusy)",[],reakcje behawioralne; decyzje kognitywne,emocje,spłycenie (fokus na zachowania),"Annotator przeszedł od identyfikacji emocji do opisu zachowań i decyzji, co wskazuje na spłycenie analizy psychologicznej.",-0.5,"Annotator zredukował zrozumienie emocji na rzecz opisu zachowań, co może wskazywać na spłycenie analizy psychologicznej. Zmiana w kierunku bardziej behawioralnym, ale z utratą głębszej analizy emocjonalnej.",reaction
23,1.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,2,0,0,0,2,0,"Brak zmiany w zrozumieniu emocjonalnym, ponieważ odpowiedzi pozostały takie same.","behawioralne manifestacje (wyrażenie potrzeby, przyznanie racji)","behawioralne manifestacje (wyrażenie potrzeby, przyznanie racji)",behawioralne manifestacje,[],[],brak znaczącej zmiany,"Annotator nie wykazał żadnej zmiany w rozumieniu reakcji na wpływ społeczny, ponieważ odpowiedzi pozostały identyczne.",0.0,"Brak rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny. Odpowiedzi pozostały na tym samym poziomie behawioralnym, bez wprowadzenia głębszych analiz emocjonalnych czy kognitywnych.",reaction
22,0.3,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,1,2,0,0,1,3,0,Brak zmiany w zrozumieniu emocjonalnym; reakcje pozostają na poziomie behawioralnym bez głębszej analizy stanów psychologicznych.,zachowanie (podtrzymywanie zdania); zmiana perspektywy (rezygnacja),zachowanie (przytaczanie argumentów); zmiana perspektywy (przyznawanie racji); zastosowanie się do sugestii,zmiana perspektywy,przytaczanie argumentów; zastosowanie się do sugestii,podtrzymywanie zdania,brak znaczącej zmiany,Annotator nie wykazał znaczącego rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny. Skupienie na behawioralnych aspektach pozostało bez zmian.,0.0,"Annotator skupił się na opisaniu zachowań związanych z wpływem społecznym, ale nie rozwinął głębszego zrozumienia psychologicznych stanów towarzyszących tym zachowaniom. Brak emocjonalnej i kognitywnej głębi w analizie.",reaction
25,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmian w zrozumieniu emocji, ponieważ brak jest jakichkolwiek reakcji w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,Brak jakichkolwiek reakcji w obu odpowiedziach wskazuje na brak rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny.,0.0,"Brak danych do analizy, co uniemożliwia ocenę rozwoju rozumienia przez annotatora.",reaction
24,0.6,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,1,1,0,0,1,1,"Brak zmiany w zrozumieniu emocjonalnym, ponieważ obie odpowiedzi koncentrują się na zewnętrznych zachowaniach bez głębszej analizy stanów psychologicznych.",zgoda jako zachowanie; szybka polemika jako kontekst,przyznanie racji jako zachowanie,zgoda jako zachowanie,[],szybka polemika jako kontekst,brak znaczącej zmiany,"Annotator nie wykazał znaczącego rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny, koncentrując się na zewnętrznych zachowaniach.",0.0,"Annotator nie rozwinął głębszego zrozumienia psychologicznych reakcji, pozostając na poziomie opisu zewnętrznych zachowań bez analizy wewnętrznych stanów emocjonalnych czy kognitywnych.",reaction
26,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,1,"Brak zmiany w zrozumieniu emocji, ponieważ odpowiedź po prostu opisuje zewnętrzny wynik bez odniesienia do wewnętrznych stanów psychologicznych.",[],zewnętrzne wyniki (preferencje),[],zewnętrzne wyniki,[],brak znaczącej zmiany,"Annotator nie rozwinął swojego rozumienia reakcji psychologicznych na wpływ społeczny, a odpowiedź po prostu wskazuje na zewnętrzny wynik.",-1.0,"Brak rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny. Odpowiedź po prostu wskazuje na zewnętrzny wynik, co sugeruje, że annotator nie zidentyfikował wewnętrznych stanów emocjonalnych ani kognitywnych.",reaction
27,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmian w zrozumieniu emocji, ponieważ brak jest jakichkolwiek reakcji w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,Brak jakichkolwiek reakcji w obu odpowiedziach wskazuje na brak rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny.,0.0,"Brak jakichkolwiek reakcji w odpowiedziach sugeruje, że annotator nie dostarczył informacji na temat reakcji na wpływ społeczny, co uniemożliwia ocenę ich rozwoju w tym zakresie.",reaction
28,0.1,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,2,1,0,"Brak zmiany w zrozumieniu emocji, ponieważ odpowiedź po prostu opisuje sytuację bez głębszej analizy stanów psychologicznych.",[],konflikt argumentacyjny; opinia; potwierdzenie własnych przekonań,[],konflikt argumentacyjny; opinia; potwierdzenie własnych przekonań,[],brak znaczącej zmiany,"Odpowiedź po czasie nie wprowadza głębszego zrozumienia psychologicznych reakcji na wpływ społeczny, a jedynie opisuje zjawisko bez analizy wewnętrznych stanów.",0.0,"Annotator nie rozwinął swojego zrozumienia psychologicznych reakcji na wpływ społeczny. Odpowiedź po czasie jest bardziej opisowa, ale nie wprowadza nowych, głębszych kategorii emocjonalnych czy kognitywnych.",reaction
29,0.3,średni,średni,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,1,2,0,0,1,2,0,"Brak zmiany w zrozumieniu emocjonalnym; reakcje pozostają na poziomie behawioralnym i kognitywnym, bez dodania nowych emocji.",agresywne reakcje; obrona własnego zdania; odrzucenie krytyki,agresywne reakcje; wyzwanie; porównania,agresywne reakcje,wyzwanie; porównania,obrona własnego zdania; odrzucenie krytyki,brak znaczącej zmiany,"Annotator nie wykazał znaczącego rozwoju w zrozumieniu psychologicznych reakcji. Reakcje pozostały na poziomie behawioralnym, a nowe kategorie nie wprowadziły głębszego wglądu w wewnętrzne stany psychiczne.",0.0,"Brak istotnego rozwoju w analizie reakcji psychologicznych. Annotator skupił się na behawioralnych aspektach reakcji, nie dodając głębszych emocjonalnych lub kognitywnych wglądów. Nowe kategorie, takie jak 'wyzwanie' i 'porównania', nie wprowadzają większej złożoności w zrozumieniu reakcji.",reaction
