index,intention_semantic_similarity,intention_conceptual_depth_analysis_before_level,intention_conceptual_depth_analysis_after_level,intention_conceptual_depth_analysis_before_focus,intention_conceptual_depth_analysis_after_focus,intention_conceptual_depth_analysis_change_direction,intention_conceptual_coverage_before_categories,intention_conceptual_coverage_after_categories,intention_conceptual_coverage_maintained_categories,intention_conceptual_coverage_new_categories,intention_conceptual_coverage_lost_categories,intention_evolution_assessment_type,intention_evolution_assessment_description,intention_evolution_assessment_quality_change,intention_key_insights,intention_analysis_type
10,0.6,głęboki,średni,koncepcyjny,mieszany,bardziej konkretny,poczucie wyjątkowości; poczucie wyższości,samoocena; wyjątkowość; wspólnota; zaangażowanie,poczucie wyższości; wyjątkowość,samoocena; wspólnota; zaangażowanie,[],przeformułowanie,"Annotator rozszerzył pierwotne intencje o konkretne cele związane z samooceną i zaangażowaniem, ale wprowadził więcej szczegółów, co spowodowało spłycenie analizy.",-0.3,"Rozwój w zakresie identyfikacji intencji, jednak z większym naciskiem na konkretne cele i działania, co może wskazywać na spłycenie analizy. Annotator zyskał nowe kategorie, ale stracił głębsze zrozumienie psychologicznych mechanizmów wpływu.",intention
11,0.6,głęboki,głęboki,koncepcyjny,koncepcyjny,bez zmian,motywacja; tożsamość grupowa; przewaga moralna,dowartościowanie drużyny; autentyczność; poczucie wspólnoty; opozycja,tożsamość grupowa,dowartościowanie drużyny; autentyczność; poczucie wspólnoty; opozycja,motywacja; przewaga moralna,przeformułowanie,Annotator przeszedł od ogólnych intencji motywacyjnych do bardziej szczegółowego opisu działań mających na celu dowartościowanie drużyny i budowanie wspólnoty w kontekście rywalizacji.,0.5,"Rozwój w zrozumieniu intencji - annotator skupił się na konkretnych aspektach budowania tożsamości drużyny i jej autentyczności w kontekście rywalizacji, co pokazuje głębsze zrozumienie psychologicznych mechanizmów wpływu.",intention
12,0.6,średni,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,motywacja; docenienie; wpływ na zespół,docenienie; motywacja,motywacja; docenienie,[],wpływ na zespół,"spłycenie (więcej detali, mniej konceptów)","Annotator przeszedł od szerszego zrozumienia intencji wpływu na drużynę do bardziej szczegółowego opisu działań związanych z docenieniem i motywowaniem, tracąc szerszą perspektywę na wpływ na zespół.",-0.4,"Zmiana w odpowiedzi 'After' wskazuje na spłycenie analizy intencji. Annotator skupił się na konkretnych działaniach (docenienie, motywowanie), ale stracił z oczu szerszy kontekst wpływu na zespół jako całość.",intention
13,0.2,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,budowanie relacji; zyskanie sympatii,motywacja do działania,[],motywacja do działania,budowanie relacji; zyskanie sympatii,"spłycenie (więcej detali, mniej konceptów)","Annotator przeszedł od identyfikowania intencji związanych z budowaniem relacji do bardziej konkretnej intencji motywacyjnej, ale bez głębszego zrozumienia psychologicznych mechanizmów.",-0.5,"Zmiana w odpowiedzi 'After' wskazuje na spłycenie analizy intencji. Zamiast rozważać relacje i sympatię, annotator skupił się na konkretnej motywacji do działania, co ogranicza zrozumienie szerszego kontekstu wpływu społecznego.",intention
14,0.4,głęboki,średni,koncepcyjny,mieszany,bardziej konkretny,motywacja; wzmocnienie poczucia wartości,motywacja; umniejszenie konkurencji,motywacja,umniejszenie konkurencji,wzmocnienie poczucia wartości,przeformułowanie,"Annotator przeszedł od identyfikacji intencji związanej z pozytywnym wzmocnieniem drużyny do strategii, która opiera się na umniejszaniu konkurencji. Zmiana ta wskazuje na inny sposób myślenia o motywacji.",0.2,"Ewolucja w rozumieniu intencji - annotator przeszedł od pozytywnego wzmocnienia do strategii opartej na negatywnym porównaniu. To może wskazywać na zrozumienie, że motywacja może być osiągnięta nie tylko poprzez pozytywne bodźce, ale także poprzez kontrast z innymi.",intention
15,0.4,średni,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,wsparcie emocjonalne; relacje interpersonalne,manipulacja emocjonalna; ofiarność,[],manipulacja emocjonalna; ofiarność,wsparcie emocjonalne; relacje interpersonalne,"spłycenie (więcej detali, mniej konceptów)",Annotator przeszedł od identyfikowania potrzeb emocjonalnych i relacyjnych do opisywania konkretnych działań manipulacyjnych. Stracił fokus na głębsze intencje i cele.,-0.5,"Zmiana w rozumieniu intencji - annotator skupił się na konkretnych działaniach manipulacyjnych, ale stracił z oczu szerszy kontekst emocjonalny i relacyjny. W odpowiedzi 'After' brakuje zrozumienia, dlaczego osoba mogła szukać wsparcia, co wskazuje na spłycenie analizy.",intention
17,0.0,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,[],[],[],[],[],brak znaczącej zmiany,Brak odpowiedzi w obu przypadkach uniemożliwia ocenę rozwoju rozumienia intencji.,0.0,"Brak danych do analizy, co uniemożliwia ocenę jakiejkolwiek ewolucji w rozumieniu intencji przez annotatora.",intention
16,0.4,powierzchowny,głęboki,konkretny,koncepcyjny,bardziej koncepcyjny,manipulacja; prośba o pomoc; wyrażanie emocji,przekonania; wzmocnienie emocjonalne; dopasowanie do sytuacji,[],przekonania; wzmocnienie emocjonalne; dopasowanie do sytuacji,manipulacja; prośba o pomoc; wyrażanie emocji,pogłębienie koncepcyjne,"Annotator przeszedł od opisu konkretnych działań do analizy głębszych intencji i mechanizmów psychologicznych, takich jak wzmocnienie przekonań i emocji.",0.7,"Wyraźny rozwój w zrozumieniu intencji - annotator przeszedł od powierzchownych działań do analizy psychologicznych mechanizmów wpływu, co wskazuje na głębsze zrozumienie dynamiki relacji i emocji.",intention
19,0.5,powierzchowny,średni,konkretny,koncepcyjny,bardziej koncepcyjny,manipulacja emocjonalna; wsparcie dla kolegi,wzbudzenie emocji; współczucie,[],wzbudzenie emocji; współczucie,manipulacja emocjonalna; wsparcie dla kolegi,pogłębienie koncepcyjne,"Annotator przeszedł od opisu konkretnego działania (manipulacja) do bardziej ogólnego celu (wzbudzenie współczucia), co wskazuje na lepsze zrozumienie psychologicznych mechanizmów wpływu.",0.5,"Rozwój w zrozumieniu intencji - annotator przeszedł od konkretnej manipulacji do identyfikacji emocjonalnych celów, co sugeruje głębsze zrozumienie dynamiki wpływu społecznego.",intention
18,0.5,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,usprawiedliwienie; opóźnienie,usprawiedliwienie; szukanie winnego,usprawiedliwienie,szukanie winnego,opóźnienie,brak znaczącej zmiany,"Annotator zachował podobny poziom powierzchowności w analizie intencji, dodając jedynie nową kategorię szukania winnego, ale nie pogłębiając zrozumienia intencji.",0.0,"Brak istotnego rozwoju w zrozumieniu intencji. Annotator skupił się na konkretnych działaniach związanych z usprawiedliwieniem, ale nie zidentyfikował głębszych motywacji czy psychologicznych mechanizmów.",intention
20,0.7,średni,średni,mieszany,koncepcyjny,bez zmian,zniechęcenie do działań; zwiększenie satysfakcji,zniechęcenie do działań; doświadczenie filmowe,zniechęcenie do działań,doświadczenie filmowe,zwiększenie satysfakcji,przeformułowanie,"Annotator skoncentrował się na bardziej szczegółowym opisie intencji zniechęcenia, zmieniając perspektywę na ochronę doświadczenia odbiorcy.",0.3,"Annotator przeszedł od ogólnego zniechęcenia do bardziej szczegółowego opisu intencji, koncentrując się na ochronie doświadczenia filmowego odbiorców. To pokazuje rozwój w zrozumieniu psychologicznych aspektów wpływu.",intention
21,0.5,powierzchowny,głęboki,konkretny,koncepcyjny,bardziej koncepcyjny,unikanie spoilerów,ochrona doświadczenia; psychologia widza; wzmacnianie emocji,[],ochrona doświadczenia; psychologia widza; wzmacnianie emocji,unikanie spoilerów,pogłębienie koncepcyjne,"Annotator przeszedł od prostego stwierdzenia dotyczącego unikania spoilerów do złożonej analizy intencji, która uwzględnia psychologiczne aspekty doświadczenia filmowego oraz emocjonalne reakcje widzów.",0.9,"Wyraźny rozwój w zrozumieniu intencji - annotator teraz dostrzega, jak unikanie spoilerów wpływa na pełniejsze przeżycie filmu, a także jak można wykorzystać emocje i przykłady, aby przekonać innych do tego podejścia.",intention
22,0.6,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,zniechęcenie do zapoznawania się z treścią,zachęta do rezygnacji z czytania/oglądania treści zawierających spojlery,[],zachęta do rezygnacji z treści,zniechęcenie do zapoznawania się z treścią,brak znaczącej zmiany,"Annotator przeszedł od opisu zniechęcenia do bardziej pozytywnej formy zachęty, ale nadal pozostaje na poziomie powierzchownym, koncentrując się na konkretnych działaniach.",0.0,"Brak istotnego rozwoju w zrozumieniu intencji. Odpowiedź 'After' jest bardziej pozytywna, ale nadal nie wnika w głębsze motywacje czy cele stojące za tymi działaniami.",intention
23,0.2,głęboki,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,ochrona emocjonalna; zapobieganie rozczarowaniu,konkretne działania,[],konkretne działania,ochrona emocjonalna; zapobieganie rozczarowaniu,"spłycenie (więcej detali, mniej konceptów)","Annotator przeszedł od identyfikowania głębszej intencji związanej z ochroną emocjonalną odbiorcy do opisywania konkretnego działania, które nie uwzględnia szerszego kontekstu intencji.",-0.7,"Wyraźne pogorszenie w zrozumieniu intencji - odpowiedź 'After' koncentruje się na konkretnej akcji (nie szukanie spoilerów), tracąc z oczu głębsze motywacje i cele związane z emocjami odbiorcy.",intention
24,0.7,średni,głęboki,koncepcyjny,koncepcyjny,bardziej koncepcyjny,satysfakcja widzów; ochrona doświadczenia,pełne doświadczenie; zaangażowanie widzów,satysfakcja widzów,pełne doświadczenie; zaangażowanie widzów,[],pogłębienie koncepcyjne,"Annotator przeszedł od ogólnego celu zwiększenia satysfakcji widzów do bardziej złożonego zrozumienia intencji, które obejmują zaangażowanie i pełne doświadczenie filmu.",0.7,"Wyraźny rozwój w zrozumieniu intencji - annotator teraz dostrzega, że celem nie jest tylko satysfakcja, ale także stworzenie pełnego i angażującego doświadczenia dla widzów, co wskazuje na głębsze zrozumienie psychologicznych aspektów wpływu.",intention
25,0.1,powierzchowny,średni,konkretny,mieszany,bardziej koncepcyjny,[],przekonywanie; pozycjonowanie; ekspertyza,[],przekonywanie; pozycjonowanie; ekspertyza,[],pogłębienie koncepcyjne,Annotator przeszedł od braku odpowiedzi do identyfikacji intencji związanych z przekonywaniem innych oraz pozycjonowaniem się jako ekspert. Wskazuje na rozwój w rozumieniu celów wpływu.,0.7,"Wyraźny rozwój w zrozumieniu intencji wywierania wpływu. Annotator zidentyfikował konkretne cele, takie jak przekonywanie innych i budowanie wizerunku eksperta, co wskazuje na lepsze zrozumienie psychologicznych aspektów wpływu.",intention
26,0.0,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,[],wymiana myśli; literatura kinowa,[],wymiana myśli nt literatury kinowej,[],brak znaczącej zmiany,"Annotator nie dostarczył żadnych informacji w odpowiedzi 'Before', a odpowiedź 'After' jest bardzo konkretna i ogranicza się do opisu tematu rozmowy.",0.0,"Brak rozwoju w rozumieniu intencji - odpowiedź 'After' jest jedynie stwierdzeniem tematu, bez analizy celów czy motywacji osoby wywierającej wpływ.",intention
27,0.0,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,[],przekonywanie,[],przekonywanie,[],brak znaczącej zmiany,"Annotator dostarczył jedynie jedną, konkretną intencję, nie rozwijając jej w kierunku głębszych celów czy mechanizmów.",0.0,Brak rozwoju w rozumieniu intencji - odpowiedź 'After' jest bardzo konkretna i nie wskazuje na głębsze zrozumienie psychologicznych aspektów wpływu.,intention
28,0.5,powierzchowny,głęboki,konkretny,koncepcyjny,bardziej koncepcyjny,zwiększenie oglądalności; aktywność widzów,perswazja; wygrana w dyskusji; satysfakcja osobista,[],perswazja; wygrana w dyskusji; satysfakcja osobista,zwiększenie oglądalności; aktywność widzów,pogłębienie koncepcyjne,"Annotator przeszedł od powierzchownych celów związanych z oglądalnością do głębszych intencji związanych z perswazją i osobistą satysfakcją. Zrozumiał, że intencje mogą być bardziej złożone i emocjonalne.",0.7,Wyraźny rozwój w rozumieniu intencji - annotator przeszedł od prostych celów związanych z oglądalnością do zrozumienia psychologicznych aspektów perswazji i osobistych motywacji. To pokazuje głębsze zrozumienie dynamiki wpływu społecznego.,intention
29,0.5,średni,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,perswazja; wpływ społeczny,perswazja; konkurencja; chaos,perswazja,konkurencja; chaos,[],"spłycenie (więcej detali, mniej konceptów)","Annotator przeszedł od ogólnego celu przekonywania do bardziej szczegółowych działań, które są bardziej konkretne, ale mniej koncepcyjne. Skupił się na rywalizacji i wywoływaniu chaosu, co zmienia charakter intencji.",-0.5,"Zmiana w kierunku bardziej konkretnych działań, ale z utratą głębszego zrozumienia intencji. Annotator skupił się na rywalizacji i wywoływaniu emocji, co może wskazywać na bardziej powierzchowne podejście do perswazji.",intention
30,0.7,średni,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,zmiana postaw; estetyka,zmiana zachowań,[],zmiana zachowań,zmiana postaw; estetyka,"spłycenie (więcej detali, mniej konceptów)","Annotator przeszedł od identyfikowania intencji związanych z przekonywaniem do bardziej abstrakcyjnych celów do opisywania konkretnego działania, co skutkuje utratą głębszego zrozumienia intencji.",-0.5,"Zmiana w odpowiedzi 'After' wskazuje na spłycenie analizy intencji. Zamiast zrozumienia psychologicznych aspektów przekonywania, annotator skupił się na konkretnym działaniu, co ogranicza głębię analizy.",intention
31,0.5,średni,głęboki,mieszany,koncepcyjny,bardziej koncepcyjny,normy społeczne; pierwsze wrażenie; szacunek,motywacja; samoocena; pierwsze wrażenie,pierwsze wrażenie,motywacja; samoocena,normy społeczne; szacunek,pogłębienie koncepcyjne,Annotator przeszedł od opisu norm społecznych i znaczenia ubioru do zrozumienia psychologicznych aspektów wpływu na samoocenę i motywację. Wskazuje na głębsze cele nauczyciela związane z rozwojem uczniów.,0.7,"Wyraźny rozwój w zrozumieniu intencji - annotator dostrzega teraz, że nauczyciel nie tylko chce, aby uczniowie przestrzegali norm, ale także dąży do podniesienia ich samooceny i motywacji poprzez odpowiedni ubiór. To pokazuje głębsze zrozumienie psychologicznych mechanizmów wpływu.",intention
32,0.7,średni,głęboki,mieszany,koncepcyjny,bardziej koncepcyjny,zmiana stylu; eksperymentowanie z modą,wyjście ze strefy komfortu; eksperymentowanie z modą; nadające znaczenie stylowi,eksperymentowanie z modą,wyjście ze strefy komfortu; nadające znaczenie stylowi,[],pogłębienie koncepcyjne,Annotator przeszedł od bardziej powierzchownych intencji związanych z zachętą do zmiany stylu do głębszego zrozumienia psychologicznych aspektów związanych z wyjściem ze strefy komfortu i nadawaniem znaczenia stylowi ubierania się.,0.7,"Wyraźny rozwój w zrozumieniu intencji - annotator dostrzega teraz nie tylko zachętę do zmiany, ale także psychologiczne mechanizmy, które mogą motywować do wyjścia ze strefy komfortu oraz znaczenie stylu ubierania się w kontekście osobistej ekspresji.",intention
33,0.2,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,próba wpływu,namawianie do zmiany zachowań,[],namawianie do zmiany zachowań,próba wpływu,brak znaczącej zmiany,"Annotator przeszedł od ogólnego stwierdzenia o próbie wpływu do konkretnego przykładu, ale nie rozwinął głębszego zrozumienia intencji.",0.0,"Brak znaczącej zmiany w zrozumieniu intencji. Annotator przeszedł do konkretnego przykładu, ale nie zidentyfikował głębszych celów ani psychologicznych mechanizmów stojących za próbą wpływu.",intention
34,0.1,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,[],zachęcanie do zmiany zachowań; pretekst do wpływu,[],zachęcanie do zmiany zachowań; pretekst do wpływu,[],brak znaczącej zmiany,"Annotator dostarczył jedną konkretną intencję, ale nie rozwinął głębszego zrozumienia psychologicznych mechanizmów ani nie zidentyfikował szerszych celów.",0.0,"Brak rozwoju w zrozumieniu intencji. Odpowiedź 'After' pozostaje na poziomie konkretów, nie wprowadzając głębszych refleksji na temat motywacji czy psychologicznych aspektów wpływu.",intention
35,0.4,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,sprzedaż produktów,zachęcanie do zakupu,[],zachęcanie do zakupu,sprzedaż produktów,brak znaczącej zmiany,"Annotator nie rozwinął głębszego zrozumienia intencji wywierania wpływu, pozostając na poziomie konkretnych działań związanych z zakupem.",0.0,"Brak istotnego rozwoju w zrozumieniu intencji. Odpowiedź 'After' jest bardziej szczegółowa, ale nie wnosi nowych, głębszych koncepcji dotyczących psychologicznych mechanizmów wpływu.",intention
36,0.4,głęboki,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,zazdrość; status społeczny; wywołanie emocji,zachęta do zakupu; reklama; potrzeby zdrowotne; estetyka,[],zachęta do zakupu; reklama; potrzeby zdrowotne; estetyka,zazdrość; status społeczny; wywołanie emocji,"spłycenie (więcej detali, mniej konceptów)","Annotator przeszedł od analizy emocjonalnych i społecznych intencji (zazdrość, status) do bardziej powierzchownych celów związanych z promocją produktu i jego funkcjami.",-0.5,"Zmiana w rozumieniu intencji - annotator skupił się na konkretnych aspektach reklamy i funkcji produktu, tracąc z oczu głębsze emocjonalne i społeczne motywacje, takie jak zazdrość czy status społeczny.",intention
37,0.5,powierzchowny,średni,konkretny,koncepcyjny,bardziej koncepcyjny,lojalność; zakup,namawianie; lojalność,lojalność,namawianie,zakup,pogłębienie koncepcyjne,"Annotator przeszedł od opisu konkretnego działania (zakup kosmetyku) do zrozumienia intencji namawiania innych do działania, co wskazuje na głębsze zrozumienie mechanizmów wpływu.",0.7,"Rozwój w zrozumieniu intencji - annotator przeszedł od opisu konkretnego zakupu do identyfikacji intencji namawiania, co wskazuje na lepsze zrozumienie społecznych mechanizmów wpływu.",intention
38,0.5,średni,głęboki,mieszany,koncepcyjny,bardziej koncepcyjny,kontrola społeczna; wprowadzenie do grupy,budowanie wizerunku; ekspertyza; wyjątkowość,[],budowanie wizerunku; ekspertyza; wyjątkowość,kontrola społeczna; wprowadzenie do grupy,pogłębienie koncepcyjne,Annotator przeszedł od opisu działań związanych z kontrolą i wprowadzeniem do grupy do bardziej złożonego zrozumienia intencji związanych z budowaniem wizerunku i ekspertyzy. Zmiana ta wskazuje na rozwój w kierunku zrozumienia psychologicznych aspektów wpływu.,0.7,"Wyraźny rozwój w zrozumieniu intencji - annotator teraz dostrzega, że działania mają na celu nie tylko kontrolę, ale także budowanie wizerunku i pozycjonowanie się jako eksperta. To pokazuje głębsze zrozumienie mechanizmów społecznych i psychologicznych w kontekście wpływu.",intention
39,0.2,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,potrzeba uznania; promocja osobista,wsparcie rodzinne; zaangażowanie w konkurs,[],wsparcie rodzinne; zaangażowanie w konkurs,potrzeba uznania; promocja osobista,brak znaczącej zmiany,"Annotator przeszedł od identyfikacji osobistych intencji do bardziej konkretnego działania, ale nie zyskał głębszego zrozumienia intencji.",0.0,"Brak znaczącej zmiany w rozumieniu intencji. Odpowiedź 'After' koncentruje się na konkretnym działaniu, ale nie identyfikuje głębszych motywacji ani celów, co wskazuje na stagnację w analizie intencji.",intention
40,0.5,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,motywacja do działania,motywacja do działania,motywacja do działania,[],[],brak znaczącej zmiany,"Annotator nie wykazał znaczącej zmiany w rozumieniu intencji. Obie odpowiedzi koncentrują się na konkretnym działaniu, bez głębszej analizy motywacji.",0.0,"Brak ewolucji w rozumieniu intencji. Odpowiedzi pozostają na poziomie powierzchownym, koncentrując się na konkretnych działaniach, a nie na głębszych motywacjach czy celach.",intention
41,0.4,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,cele osobiste; wizerunek w firmie,nakłanianie do działania; wizerunek w firmie,wizerunek w firmie,nakłanianie do działania,cele osobiste,brak znaczącej zmiany,"Annotator skupił się na konkretnych działaniach, ale nie rozwinął głębszego zrozumienia intencji. Obie odpowiedzi pozostają na poziomie powierzchownym.",0.0,"Brak znaczącej ewolucji w rozumieniu intencji. Annotator nadal koncentruje się na konkretnych działaniach, nie identyfikując głębszych motywacji czy celów związanych z wpływem na Kube.",intention
43,0.4,średni,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,relacje rodzinne; cele zawodowe; spędzanie czasu,zaangażowanie w aktywność rodzinną,relacje rodzinne,zaangażowanie w aktywność,cele zawodowe; spędzanie czasu,"spłycenie (więcej detali, mniej konceptów)",Annotator przeszedł od identyfikowania szerszych celów związanych z relacjami rodzinnymi do opisywania konkretnego działania (przekonanie syna do konkursu). Stracił fokus na głębsze intencje.,-0.5,"Zmiana w kierunku bardziej konkretnych działań, ale z utratą szerszego kontekstu intencji. Annotator skupił się na jednym, konkretnym działaniu, co ogranicza zrozumienie szerszych celów i motywacji związanych z relacjami rodzinnymi.",intention
